# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
B1,PL14C,7,-,True_OF_PL14D,-,LDQ17,,B1,PL14C,7,-,True_OF_PL14D,-,LDQ17,,B1,PL14C,7,-,True_OF_PL14D,-,LDQ17,,B1,PL14C,7,-,True_OF_PL14D,-,LDQ17
B2,GND,-,-,-,-,-,,B2,GND,-,-,-,-,-,,B2,GND,-,-,-,-,-,,B2,GND,-,-,-,-,-
B3,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,,B3,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,,B3,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,,B3,PL14D,7,-,Comp_OF_PL14C,-,LDQ17
B4,PT6A,0,-,True_OF_PT6B,-,-,,B4,PT6A,0,-,True_OF_PT6B,-,-,,B4,PT6A,0,-,True_OF_PT6B,-,-,,B4,PT6A,0,-,True_OF_PT6B,-,-
B5,GND,-,-,-,-,-,,B5,GND,-,-,-,-,-,,B5,GND,-,-,-,-,-,,B5,GND,-,-,-,-,-
B6,PT13B,0,-,Comp_OF_PT13A,-,-,,B6,PT13B,0,-,Comp_OF_PT13A,-,-,,B6,PT13B,0,-,Comp_OF_PT13A,-,-,,B6,PT13B,0,-,Comp_OF_PT13A,-,-
B8,PT20A,0,-,True_OF_PT20B,-,-,,B8,PT20A,0,-,True_OF_PT20B,-,-,,B8,PT20A,0,-,True_OF_PT20B,-,-,,B8,PT20A,0,-,True_OF_PT20B,-,-
B9,GND,-,-,-,-,-,,B9,GND,-,-,-,-,-,,B9,GND,-,-,-,-,-,,B9,GND,-,-,-,-,-
B10,PT29B,0,-,Comp_OF_PT29A,-,-,,B10,PT29B,0,-,Comp_OF_PT29A,-,-,,B10,PT56B,0,-,Comp_OF_PT56A,-,-,,B10,PT56B,0,-,Comp_OF_PT56A,-,-
B11,PT33B,0,GR_PCLK0_0,Comp_OF_PT33A,-,-,,B11,PT33B,0,GR_PCLK0_0,Comp_OF_PT33A,-,-,,B11,PT60B,0,GR_PCLK0_0,Comp_OF_PT60A,-,-,,B11,PT60B,0,GR_PCLK0_0,Comp_OF_PT60A,-,-
B12,GND,-,-,-,-,-,,B12,GND,-,-,-,-,-,,B12,GND,-,-,-,-,-,,B12,GND,-,-,-,-,-
B13,PT49A,1,-,True_OF_PT49B,-,-,,B13,PT49A,1,-,True_OF_PT49B,-,-,,B13,PT76A,1,-,True_OF_PT76B,-,-,,B13,PT76A,1,-,True_OF_PT76B,-,-
B14,PT49B,1,-,Comp_OF_PT49A,-,-,,B14,PT49B,1,-,Comp_OF_PT49A,-,-,,B14,PT76B,1,-,Comp_OF_PT76A,-,-,,B14,PT76B,1,-,Comp_OF_PT76A,-,-
B15,GND,-,-,-,-,-,,B15,GND,-,-,-,-,-,,B15,GND,-,-,-,-,-,,B15,GND,-,-,-,-,-
B16,PT56A,1,-,True_OF_PT56B,-,-,,B16,PT56A,1,-,True_OF_PT56B,-,-,,B16,PT83A,1,-,True_OF_PT83B,-,-,,B16,PT83A,1,-,True_OF_PT83B,-,-
B17,PT60A,1,-,True_OF_PT60B,-,-,,B17,PT60A,1,-,True_OF_PT60B,-,-,,B17,PT96A,1,-,True_OF_PT96B,-,-,,B17,PT96A,1,-,True_OF_PT96B,-,-
B18,GND,-,-,-,-,-,,B18,GND,-,-,-,-,-,,B18,GND,-,-,-,-,-,,B18,GND,-,-,-,-,-
B19,PT69B,1,-,Comp_OF_PT69A,-,-,,B19,PT69B,1,-,Comp_OF_PT69A,-,-,,B19,PT105B,1,-,Comp_OF_PT105A,-,-,,B19,PT105B,1,-,Comp_OF_PT105A,-,-
B21,PT76A,1,-,True_OF_PT76B,-,-,,B21,PT76A,1,-,True_OF_PT76B,-,-,,B21,PT112A,1,-,True_OF_PT112B,-,-,,B21,PT112A,1,-,True_OF_PT112B,-,-
B22,GND,-,-,-,-,-,,B22,GND,-,-,-,-,-,,B22,GND,-,-,-,-,-,,B22,GND,-,-,-,-,-
