# ECP5U caBGA256 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 2.0.  Added LFE5U-45,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar. 19, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5U-12,,,,,,,,LFE5U-25,,,,,,,,LFE5U-45,,,,,,
Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS
K13,PR29A,3,GR_PCLK3_0,True_OF_PR29B,TRUE,RDQ32,,K13,PR29A,3,GR_PCLK3_0,True_OF_PR29B,TRUE,RDQ32,,K13,PR38A,3,GR_PCLK3_0,True_OF_PR38B,TRUE,RDQ41
K14,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,,K14,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,,K14,PR29D,2,-,Comp_OF_PR29C,-,RDQ29
K15,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,,K15,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,,K15,PR32D,2,PCLKC2_0,Comp_OF_PR32C,-,RDQ29
K16,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,,K16,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,,K16,PR32C,2,PCLKT2_0,True_OF_PR32D,-,RDQ29
K2,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,,K2,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,,K2,PL32D,7,PCLKC7_0,Comp_OF_PL32C,-,LDQ29
K3,PL20D,7,-,Comp_OF_PL20C,-,LDQ20,,K3,PL20D,7,-,Comp_OF_PL20C,-,LDQ20,,K3,PL29D,7,-,Comp_OF_PL29C,-,LDQ29
K4,PL29A,6,GR_PCLK6_0,True_OF_PL29B,TRUE,LDQ32,,K4,PL29A,6,GR_PCLK6_0,True_OF_PL29B,TRUE,LDQ32,,K4,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41
K5,PL29B,6,-,Comp_OF_PL29A,TRUE,LDQ32,,K5,PL29B,6,-,Comp_OF_PL29A,TRUE,LDQ32,,K5,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41
K6,GND,-,-,-,-,-,,K6,GND,-,-,-,-,-,,K6,GND,-,-,-,-,-
K7,GND,-,-,-,-,-,,K7,GND,-,-,-,-,-,,K7,GND,-,-,-,-,-
K8,GND,-,-,-,-,-,,K8,GND,-,-,-,-,-,,K8,GND,-,-,-,-,-
K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-
L1,PL26A,6,PCLKT6_1,True_OF_PL26B,TRUE,LDQ32,,L1,PL26A,6,PCLKT6_1,True_OF_PL26B,TRUE,LDQ32,,L1,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41
L10,VCC,-,-,-,-,-,,L10,VCC,-,-,-,-,-,,L10,VCC,-,-,-,-,-
L11,VCCIO3,3,-,-,-,-,,L11,VCCIO3,3,-,-,-,-,,L11,VCCIO3,3,-,-,-,-
L12,PR29D,3,-,Comp_OF_PR29C,-,RDQ32,,L12,PR29D,3,-,Comp_OF_PR29C,-,RDQ32,,L12,PR38D,3,-,Comp_OF_PR38C,-,RDQ41
L13,PR29C,3,GR_PCLK3_1,True_OF_PR29D,-,RDQ32,,L13,PR29C,3,GR_PCLK3_1,True_OF_PR29D,-,RDQ32,,L13,PR38C,3,GR_PCLK3_1,True_OF_PR38D,-,RDQ41
L14,PR32C,3,-,True_OF_PR32D,-,RDQ32,,L14,PR32C,3,-,True_OF_PR32D,-,RDQ32,,L14,PR41C,3,-,True_OF_PR41D,-,RDQ41
L15,PR26B,3,PCLKC3_1,Comp_OF_PR26A,TRUE,RDQ32,,L15,PR26B,3,PCLKC3_1,Comp_OF_PR26A,TRUE,RDQ32,,L15,PR35B,3,PCLKC3_1,Comp_OF_PR35A,TRUE,RDQ41
L16,PR26A,3,PCLKT3_1,True_OF_PR26B,TRUE,RDQ32,,L16,PR26A,3,PCLKT3_1,True_OF_PR26B,TRUE,RDQ32,,L16,PR35A,3,PCLKT3_1,True_OF_PR35B,TRUE,RDQ41
L2,PL26B,6,PCLKC6_1,Comp_OF_PL26A,TRUE,LDQ32,,L2,PL26B,6,PCLKC6_1,Comp_OF_PL26A,TRUE,LDQ32,,L2,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41
L3,PL32C,6,-,True_OF_PL32D,-,LDQ32,,L3,PL32C,6,-,True_OF_PL32D,-,LDQ32,,L3,PL41C,6,-,True_OF_PL41D,-,LDQ41
L4,PL29C,6,GR_PCLK6_1,True_OF_PL29D,-,LDQ32,,L4,PL29C,6,GR_PCLK6_1,True_OF_PL29D,-,LDQ32,,L4,PL38C,6,GR_PCLK6_1,True_OF_PL38D,-,LDQ41
L5,PL29D,6,-,Comp_OF_PL29C,-,LDQ32,,L5,PL29D,6,-,Comp_OF_PL29C,-,LDQ32,,L5,PL38D,6,-,Comp_OF_PL38C,-,LDQ41
L6,VCCIO8,8,-,-,-,-,,L6,VCCIO8,8,-,-,-,-,,L6,VCCIO8,8,-,-,-,-
L7,VCCAUX,-,-,-,-,-,,L7,VCCAUX,-,-,-,-,-,,L7,VCCAUX,-,-,-,-,-
L8,VCC,-,-,-,-,-,,L8,VCC,-,-,-,-,-,,L8,VCC,-,-,-,-,-
L9,VCC,-,-,-,-,-,,L9,VCC,-,-,-,-,-,,L9,VCC,-,-,-,-,-
M1,PL26C,6,PCLKT6_0,True_OF_PL26D,-,LDQ32,,M1,PL26C,6,PCLKT6_0,True_OF_PL26D,-,LDQ32,,M1,PL35C,6,PCLKT6_0,True_OF_PL35D,-,LDQ41
M10,TDO,40,-,-,-,-,,M10,TDO,40,-,-,-,-,,M10,TDO,40,-,-,-,-
M11,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,,M11,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,,M11,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65
M12,PR44C,3,-,True_OF_PR44D,-,RDQ44,,M12,PR44C,3,-,True_OF_PR44D,-,RDQ44,,M12,PR65C,3,-,True_OF_PR65D,-,RDQ65
M13,PR35C,3,-,True_OF_PR35D,-,RDQ32,,M13,PR35C,3,-,True_OF_PR35D,-,RDQ32,,M13,PR44C,3,-,True_OF_PR44D,-,RDQ41
M14,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,,M14,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,,M14,PR41D,3,-,Comp_OF_PR41C,-,RDQ41
M15,PR26D,3,PCLKC3_0,Comp_OF_PR26C,-,RDQ32,,M15,PR26D,3,PCLKC3_0,Comp_OF_PR26C,-,RDQ32,,M15,PR35D,3,PCLKC3_0,Comp_OF_PR35C,-,RDQ41
M16,PR26C,3,PCLKT3_0,True_OF_PR26D,-,RDQ32,,M16,PR26C,3,PCLKT3_0,True_OF_PR26D,-,RDQ32,,M16,PR35C,3,PCLKT3_0,True_OF_PR35D,-,RDQ41
M2,PL26D,6,PCLKC6_0,Comp_OF_PL26C,-,LDQ32,,M2,PL26D,6,PCLKC6_0,Comp_OF_PL26C,-,LDQ32,,M2,PL35D,6,PCLKC6_0,Comp_OF_PL35C,-,LDQ41
M3,PL32D,6,-,Comp_OF_PL32C,-,LDQ32,,M3,PL32D,6,-,Comp_OF_PL32C,-,LDQ32,,M3,PL41D,6,-,Comp_OF_PL41C,-,LDQ41
M4,PL35C,6,-,True_OF_PL35D,-,LDQ32,,M4,PL35C,6,-,True_OF_PL35D,-,LDQ32,,M4,PL44C,6,-,True_OF_PL44D,-,LDQ41
M5,PL44C,6,-,True_OF_PL44D,-,LDQ44,,M5,PL44C,6,-,True_OF_PL44D,-,LDQ44,,M5,PL65C,6,-,True_OF_PL65D,-,LDQ65
M6,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,,M6,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,,M6,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65
M7,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,M7,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,M7,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-
M8,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,M8,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,M8,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-
M9,PB18A,8,WRITEN,-,-,-,,M9,PB18A,8,WRITEN,-,-,-,,M9,PB18A,8,WRITEN,-,-,-
N1,PL32A,6,-,True_OF_PL32B,TRUE,LDQS32,,N1,PL32A,6,-,True_OF_PL32B,TRUE,LDQS32,,N1,PL41A,6,-,True_OF_PL41B,TRUE,LDQS41
N10,CFG_0,8,-,-,-,-,,N10,CFG_0,8,-,-,-,-,,N10,CFG_0,8,-,-,-,-
N11,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,,N11,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,,N11,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65
N12,PR44D,3,-,Comp_OF_PR44C,-,RDQ44,,N12,PR44D,3,-,Comp_OF_PR44C,-,RDQ44,,N12,PR65D,3,-,Comp_OF_PR65C,-,RDQ65
N13,PR38A,3,-,True_OF_PR38B,TRUE,RDQ44,,N13,PR38A,3,-,True_OF_PR38B,TRUE,RDQ44,,N13,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65
N14,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,,N14,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,,N14,PR44D,3,-,Comp_OF_PR44C,-,RDQ41
N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-
N16,PR32A,3,-,True_OF_PR32B,TRUE,RDQS32,,N16,PR32A,3,-,True_OF_PR32B,TRUE,RDQS32,,N16,PR41A,3,-,True_OF_PR41B,TRUE,RDQS41
N2,GND,-,-,-,-,-,,N2,GND,-,-,-,-,-,,N2,GND,-,-,-,-,-
N3,PL35D,6,-,Comp_OF_PL35C,-,LDQ32,,N3,PL35D,6,-,Comp_OF_PL35C,-,LDQ32,,N3,PL44D,6,-,Comp_OF_PL44C,-,LDQ41
N4,PL38A,6,-,True_OF_PL38B,TRUE,LDQ44,,N4,PL38A,6,-,True_OF_PL38B,TRUE,LDQ44,,N4,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65
N5,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,,N5,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,,N5,PL65D,6,-,Comp_OF_PL65C,-,LDQ65
N6,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,,N6,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,,N6,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65
N7,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,N7,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,N7,PB9A,8,D3/IO3,True_OF_PB9B,-,-
N8,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,N8,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,N8,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-
N9,CCLK,8,MCLK/SCK,-,-,-,,N9,CCLK,8,MCLK/SCK,-,-,-,,N9,CCLK,8,MCLK/SCK,-,-,-
P1,PL35A,6,-,True_OF_PL35B,TRUE,LDQ32,,P1,PL35A,6,-,True_OF_PL35B,TRUE,LDQ32,,P1,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41
P10,CFG_1,8,-,-,-,-,,P10,CFG_1,8,-,-,-,-,,P10,CFG_1,8,-,-,-,-
P11,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,,P11,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,,P11,PR68C,3,LRC_GPLL0T_IN,True_OF_PR68D,-,RDQ65
P12,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,,P12,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,,P12,PR68D,3,LRC_GPLL0C_IN,Comp_OF_PR68C,-,RDQ65
P13,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,,P13,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,,P13,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65
P14,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ44,,P14,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ44,,P14,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65
P15,PR32B,3,-,Comp_OF_PR32A,TRUE,RDQSN32,,P15,PR32B,3,-,Comp_OF_PR32A,TRUE,RDQSN32,,P15,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQSN41
P16,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,,P16,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,,P16,PR44A,3,-,True_OF_PR44B,TRUE,RDQ41
P2,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,,P2,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,,P2,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQSN41
P3,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ44,,P3,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ44,,P3,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65
P4,PL41A,6,-,True_OF_PL41B,TRUE,LDQ44,,P4,PL41A,6,-,True_OF_PL41B,TRUE,LDQ44,,P4,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65
P5,PL47D,6,LLC_GPLL0C_IN,Comp_OF_PL47C,-,LDQ44,,P5,PL47D,6,LLC_GPLL0C_IN,Comp_OF_PL47C,-,LDQ44,,P5,PL68D,6,LLC_GPLL0C_IN,Comp_OF_PL68C,-,LDQ65
P6,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,,P6,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,,P6,PL68C,6,LLC_GPLL0T_IN,True_OF_PL68D,-,LDQ65
P7,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,P7,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,P7,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-
P8,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,P8,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,P8,PB13B,8,CS1N,Comp_OF_PB13A,-,-
P9,DONE,8,-,-,-,-,,P9,DONE,8,-,-,-,-,,P9,DONE,8,-,-,-,-
R1,PL35B,6,VREF1_6,Comp_OF_PL35A,TRUE,LDQ32,,R1,PL35B,6,VREF1_6,Comp_OF_PL35A,TRUE,LDQ32,,R1,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41
R10,CFG_2,8,-,-,-,-,,R10,CFG_2,8,-,-,-,-,,R10,CFG_2,8,-,-,-,-
R11,TDI,40,-,-,-,-,,R11,TDI,40,-,-,-,-,,R11,TDI,40,-,-,-,-
R12,PR44A,3,-,True_OF_PR44B,TRUE,RDQS44,,R12,PR44A,3,-,True_OF_PR44B,TRUE,RDQS44,,R12,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65
R13,PR41C,3,-,True_OF_PR41D,-,RDQ44,,R13,PR41C,3,-,True_OF_PR41D,-,RDQ44,,R13,PR62C,3,-,True_OF_PR62D,-,RDQ65
R14,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,,R14,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,,R14,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65
R15,PR38C,3,-,True_OF_PR38D,-,RDQ44,,R15,PR38C,3,-,True_OF_PR38D,-,RDQ44,,R15,PR59C,3,-,True_OF_PR59D,-,RDQ65
R16,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,,R16,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,,R16,PR44B,3,VREF1_3,Comp_OF_PR44A,TRUE,RDQ41
R2,PL38C,6,-,True_OF_PL38D,-,LDQ44,,R2,PL38C,6,-,True_OF_PL38D,-,LDQ44,,R2,PL59C,6,-,True_OF_PL59D,-,LDQ65
R3,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQ44,,R3,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQ44,,R3,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65
R4,PL41C,6,-,True_OF_PL41D,-,LDQ44,,R4,PL41C,6,-,True_OF_PL41D,-,LDQ44,,R4,PL62C,6,-,True_OF_PL62D,-,LDQ65
R5,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,,R5,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,,R5,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65
R6,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,R6,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,R6,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-
R7,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,R7,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,R7,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-
R8,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,R8,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,R8,PB13A,8,SN/CSN,True_OF_PB13B,-,-
R9,PROGRAMN,8,-,-,-,-,,R9,PROGRAMN,8,-,-,-,-,,R9,PROGRAMN,8,-,-,-,-
T1,GND,-,-,-,-,-,,T1,GND,-,-,-,-,-,,T1,GND,-,-,-,-,-
T10,TCK,40,-,-,-,-,,T10,TCK,40,-,-,-,-,,T10,TCK,40,-,-,-,-
T11,TMS,40,-,-,-,-,,T11,TMS,40,-,-,-,-,,T11,TMS,40,-,-,-,-
T12,GND,-,-,-,-,-,,T12,GND,-,-,-,-,-,,T12,GND,-,-,-,-,-
T13,PR44B,3,-,Comp_OF_PR44A,TRUE,RDQSN44,,T13,PR44B,3,-,Comp_OF_PR44A,TRUE,RDQSN44,,T13,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65
T14,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,,T14,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,,T14,PR62D,3,-,Comp_OF_PR62C,-,RDQ65
T15,PR38D,3,-,Comp_OF_PR38C,-,RDQ44,,T15,PR38D,3,-,Comp_OF_PR38C,-,RDQ44,,T15,PR59D,3,-,Comp_OF_PR59C,-,RDQ65
T16,GND,-,-,-,-,-,,T16,GND,-,-,-,-,-,,T16,GND,-,-,-,-,-
T2,PL38D,6,-,Comp_OF_PL38C,-,LDQ44,,T2,PL38D,6,-,Comp_OF_PL38C,-,LDQ44,,T2,PL59D,6,-,Comp_OF_PL59C,-,LDQ65
T3,PL41D,6,-,Comp_OF_PL41C,-,LDQ44,,T3,PL41D,6,-,Comp_OF_PL41C,-,LDQ44,,T3,PL62D,6,-,Comp_OF_PL62C,-,LDQ65
T4,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,,T4,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,,T4,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65
T5,GND,-,-,-,-,-,,T5,GND,-,-,-,-,-,,T5,GND,-,-,-,-,-
T6,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,T6,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,T6,PB4A,8,D7/IO7,True_OF_PB4B,-,-
T7,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,T7,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,T7,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-
T8,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,T8,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,T8,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-
T9,INITN,8,-,-,-,-,,T9,INITN,8,-,-,-,-,,T9,INITN,8,-,-,-,-
