# ECP5U caBGA256 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 2.0.  Added LFE5U-45,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar. 19, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5U-12,,,,,,,,LFE5U-25,,,,,,,,LFE5U-45,,,,,,
Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS
C1,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,,C1,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,,C1,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17
C10,PT44B,1,-,Comp_OF_PT44A,-,-,,C10,PT44B,1,-,Comp_OF_PT44A,-,-,,C10,PT53B,1,-,Comp_OF_PT53A,-,-
C11,PT49B,1,-,Comp_OF_PT49A,-,-,,C11,PT49B,1,-,Comp_OF_PT49A,-,-,,C11,PT58B,1,-,Comp_OF_PT58A,-,-
C12,PT56B,1,-,Comp_OF_PT56A,-,-,,C12,PT56B,1,-,Comp_OF_PT56A,-,-,,C12,PT74B,1,-,Comp_OF_PT74A,-,-
C13,PT60B,1,-,Comp_OF_PT60A,-,-,,C13,PT60B,1,-,Comp_OF_PT60A,-,-,,C13,PT78B,1,-,Comp_OF_PT78A,-,-
C14,PR2C,2,-,True_OF_PR2D,-,RDQ8,,C14,PR2C,2,-,True_OF_PR2D,-,RDQ8,,C14,PR11C,2,-,True_OF_PR11D,-,RDQ17
C15,PR5B,2,-,Comp_OF_PR5A,TRUE,RDQ8,,C15,PR5B,2,-,Comp_OF_PR5A,TRUE,RDQ8,,C15,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17
C16,PR5A,2,-,True_OF_PR5B,TRUE,RDQ8,,C16,PR5A,2,-,True_OF_PR5B,TRUE,RDQ8,,C16,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17
C2,PL5B,7,-,Comp_OF_PL5A,TRUE,LDQ8,,C2,PL5B,7,-,Comp_OF_PL5A,TRUE,LDQ8,,C2,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17
C3,PL2C,7,-,True_OF_PL2D,-,LDQ8,,C3,PL2C,7,-,True_OF_PL2D,-,LDQ8,,C3,PL11C,7,-,True_OF_PL11D,-,LDQ17
C4,PT11A,0,-,True_OF_PT11B,-,-,,C4,PT11A,0,-,True_OF_PT11B,-,-,,C4,PT11A,0,-,True_OF_PT11B,-,-
C5,PT15A,0,-,True_OF_PT15B,-,-,,C5,PT15A,0,-,True_OF_PT15B,-,-,,C5,PT15A,0,-,True_OF_PT15B,-,-
C6,PT22A,0,-,True_OF_PT22B,-,-,,C6,PT22A,0,-,True_OF_PT22B,-,-,,C6,PT31A,0,-,True_OF_PT31B,-,-
C7,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,,C7,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,,C7,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-
C8,PT35A,1,PCLKT1_0,True_OF_PT35B,-,-,,C8,PT35A,1,PCLKT1_0,True_OF_PT35B,-,-,,C8,PT44A,1,PCLKT1_0,True_OF_PT44B,-,-
C9,PT38B,1,GR_PCLK1_1,Comp_OF_PT38A,-,-,,C9,PT38B,1,GR_PCLK1_1,Comp_OF_PT38A,-,-,,C9,PT47B,1,GR_PCLK1_1,Comp_OF_PT47A,-,-
D1,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,,D1,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,,D1,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17
D10,PT47A,1,-,True_OF_PT47B,-,-,,D10,PT47A,1,-,True_OF_PT47B,-,-,,D10,PT56A,1,-,True_OF_PT56B,-,-
D11,PT51A,1,-,True_OF_PT51B,-,-,,D11,PT51A,1,-,True_OF_PT51B,-,-,,D11,PT69A,1,-,True_OF_PT69B,-,-
D12,PT58A,1,-,True_OF_PT58B,-,-,,D12,PT58A,1,-,True_OF_PT58B,-,-,,D12,PT76A,1,-,True_OF_PT76B,-,-
D13,PT62A,1,-,True_OF_PT62B,-,-,,D13,PT62A,1,-,True_OF_PT62B,-,-,,D13,PT80A,1,-,True_OF_PT80B,-,-
D14,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,,D14,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,,D14,PR11D,2,-,Comp_OF_PR11C,-,RDQ17
D15,GND,-,-,-,-,-,,D15,GND,-,-,-,-,-,,D15,GND,-,-,-,-,-
D16,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,,D16,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,,D16,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17
D2,GND,-,-,-,-,-,,D2,GND,-,-,-,-,-,,D2,GND,-,-,-,-,-
D3,PL2D,7,-,Comp_OF_PL2C,-,LDQ8,,D3,PL2D,7,-,Comp_OF_PL2C,-,LDQ8,,D3,PL11D,7,-,Comp_OF_PL11C,-,LDQ17
D4,PT9B,0,-,Comp_OF_PT9A,-,-,,D4,PT9B,0,-,Comp_OF_PT9A,-,-,,D4,PT9B,0,-,Comp_OF_PT9A,-,-
D5,PT13B,0,-,Comp_OF_PT13A,-,-,,D5,PT13B,0,-,Comp_OF_PT13A,-,-,,D5,PT13B,0,-,Comp_OF_PT13A,-,-
D6,PT20B,0,-,Comp_OF_PT20A,-,-,,D6,PT20B,0,-,Comp_OF_PT20A,-,-,,D6,PT20B,0,-,Comp_OF_PT20A,-,-
D7,PT24B,0,GR_PCLK0_0,Comp_OF_PT24A,-,-,,D7,PT24B,0,GR_PCLK0_0,Comp_OF_PT24A,-,-,,D7,PT33B,0,GR_PCLK0_0,Comp_OF_PT33A,-,-
D8,PT33B,1,PCLKC1_1,Comp_OF_PT33A,-,-,,D8,PT33B,1,PCLKC1_1,Comp_OF_PT33A,-,-,,D8,PT42B,1,PCLKC1_1,Comp_OF_PT42A,-,-
D9,PT40A,1,-,True_OF_PT40B,-,-,,D9,PT40A,1,-,True_OF_PT40B,-,-,,D9,PT49A,1,-,True_OF_PT49B,-,-
E1,PL11D,7,-,Comp_OF_PL11C,-,LDQ8,,E1,PL11D,7,-,Comp_OF_PL11C,-,LDQ8,,E1,PL20D,7,-,Comp_OF_PL20C,-,LDQ17
E10,PT47B,1,-,Comp_OF_PT47A,-,-,,E10,PT47B,1,-,Comp_OF_PT47A,-,-,,E10,PT56B,1,-,Comp_OF_PT56A,-,-
E11,PT51B,1,-,Comp_OF_PT51A,-,-,,E11,PT51B,1,-,Comp_OF_PT51A,-,-,,E11,PT69B,1,-,Comp_OF_PT69A,-,-
E12,PT58B,1,-,Comp_OF_PT58A,-,-,,E12,PT58B,1,-,Comp_OF_PT58A,-,-,,E12,PT76B,1,-,Comp_OF_PT76A,-,-
E13,PT62B,1,-,Comp_OF_PT62A,-,-,,E13,PT62B,1,-,Comp_OF_PT62A,-,-,,E13,PT80B,1,-,Comp_OF_PT80A,-,-
E14,PR5C,2,-,True_OF_PR5D,-,RDQ8,,E14,PR5C,2,-,True_OF_PR5D,-,RDQ8,,E14,PR14C,2,-,True_OF_PR14D,-,RDQ17
E15,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,,E15,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,,E15,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17
E16,PR11D,2,-,Comp_OF_PR11C,-,RDQ8,,E16,PR11D,2,-,Comp_OF_PR11C,-,RDQ8,,E16,PR20D,2,-,Comp_OF_PR20C,-,RDQ17
E2,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,,E2,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,,E2,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17
E3,PL5C,7,-,True_OF_PL5D,-,LDQ8,,E3,PL5C,7,-,True_OF_PL5D,-,LDQ8,,E3,PL14C,7,-,True_OF_PL14D,-,LDQ17
E4,PT9A,0,-,True_OF_PT9B,-,-,,E4,PT9A,0,-,True_OF_PT9B,-,-,,E4,PT9A,0,-,True_OF_PT9B,-,-
E5,PT13A,0,-,True_OF_PT13B,-,-,,E5,PT13A,0,-,True_OF_PT13B,-,-,,E5,PT13A,0,-,True_OF_PT13B,-,-
E6,PT20A,0,-,True_OF_PT20B,-,-,,E6,PT20A,0,-,True_OF_PT20B,-,-,,E6,PT20A,0,-,True_OF_PT20B,-,-
E7,PT24A,0,GR_PCLK0_1,True_OF_PT24B,-,-,,E7,PT24A,0,GR_PCLK0_1,True_OF_PT24B,-,-,,E7,PT33A,0,GR_PCLK0_1,True_OF_PT33B,-,-
E8,PT33A,1,PCLKT1_1,True_OF_PT33B,-,-,,E8,PT33A,1,PCLKT1_1,True_OF_PT33B,-,-,,E8,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-
E9,PT40B,1,-,Comp_OF_PT40A,-,-,,E9,PT40B,1,-,Comp_OF_PT40A,-,-,,E9,PT49B,1,-,Comp_OF_PT49A,-,-
