# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
307,VCCIO4,-,-,-,-,-,-
308,PB110A,4,-,True_OF_PB110B,-,-,-
309,PB112A,4,-,True_OF_PB112B,-,-,-
310,VCCAUX,-,4,-,-,-,-
311,PB110B,4,4,Comp_OF_PB110A,-,-,-
312,PB112B,4,-,Comp_OF_PB112A,-,-,-
313,VSS,-,4,-,-,-,-
314,PB114A,4,4,True_OF_PB114B,-,-,-
315,PB116A,4,-,True_OF_PB116B,-,-,-
316,VCC,-,4,-,-,-,-
317,PB114B,4,4,Comp_OF_PB114A,-,-,-
318,PB116B,4,-,Comp_OF_PB116A,-,-,-
319,VSS,-,4,-,-,-,-
320,PB119A,4,4,True_OF_PB119B,-,-,-
321,PB121A,4,-,True_OF_PB121B,-,-,-
322,VSSIO4,-,4,-,-,-,-
323,PB119B,4,4,Comp_OF_PB119A,-,-,-
324,PB121B,4,-,Comp_OF_PB121A,-,-,-
325,VCCIO4,-,4,-,-,-,-
326,VCC,-,4,-,-,-,-
327,VCC,-,-,-,-,-,-
328,VSS,-,4,-,-,-,-
329,GND,-,4,-,-,-,-
330,NC,-,-,-,-,-,-
331,NC,-,4,-,-,-,-
332,PR92D,3,4,Comp_OF_PR92C,-,RDQ89,N1
333,PR92C,3,-,True_OF_PR92D,-,RDQ89,M1
334,VCCIO3,-,4,-,-,-,-
335,PR92B,3,4,Comp_OF_PR92A,TRUE,RDQ89,-
336,VSSIO3,-,-,-,-,-,-
337,PR92A,3,4,True_OF_PR92B,TRUE,RDQ89,-
338,PR89D,3,4,Comp_OF_PR89C,-,RDQ89,N2
339,VSS,-,-,-,-,-,-
340,PR89B,3,4,Comp_OF_PR89A,TRUE,RDQSN89,L1
341,PR89C,3,4,True_OF_PR89D,-,RDQ89,M2
342,VCC,-,-,-,-,-,-
343,PR89A,3,4,True_OF_PR89B,TRUE,RDQS89,K2
344,PR86D,3,4,Comp_OF_PR86C,-,RDQ89,K1
345,VSS,-,-,-,-,-,-
346,PR86B,3,-,Comp_OF_PR86A,TRUE,RDQ89,L3
347,PR86C,3,-,True_OF_PR86D,-,RDQ89,K3
348,VCCAUX,-,-,-,-,-,-
349,PR86A,3,-,True_OF_PR86B,TRUE,RDQ89,M3
350,PR83D,3,-,Comp_OF_PR83C,-,RDQ89,N3
351,VCCIO3,-,-,-,-,-,-
352,PR83B,3,3,Comp_OF_PR83A,TRUE,RDQ89,L4
353,PR83C,3,3,True_OF_PR83D,-,RDQ89,N4
354,VSSIO3,-,-,-,-,-,-
355,PR83A,3,3,True_OF_PR83B,TRUE,RDQ89,K4
356,PR80D,3,-,Comp_OF_PR80C,-,RDQ77,-
357,VCCIO3,-,3,-,-,-,-
358,PR80B,3,3,Comp_OF_PR80A,TRUE,RDQ77,-
359,PR80C,3,-,True_OF_PR80D,-,RDQ77,-
360,VSSIO3,-,3,-,-,-,-
361,PR80A,3,3,True_OF_PR80B,TRUE,RDQ77,-
362,PR77D,3,-,Comp_OF_PR77C,-,RDQ77,-
363,VSS,-,3,-,-,-,-
364,PR77B,3,3,Comp_OF_PR77A,TRUE,RDQSN77,-
365,PR77C,3,-,True_OF_PR77D,-,RDQ77,-
366,VCC,-,3,-,-,-,-
